Frame: 34, ID: 3, BBox: [555, 218, 84, 165], Confidence: 0.90
Frame: 34, ID: 4, BBox: [109, 287, 128, 96], Confidence: 0.46
Frame: 34, ID: 8, BBox: [108, 289, 193, 94], Confidence: 0.45
Frame: 35, ID: 1, BBox: [317, 50, 180, 333], Confidence: 0.92
Frame: 35, ID: 2, BBox: [199, 213, 204, 170], Confidence: 0.91
Frame: 35, ID: 3, BBox: [555, 218, 84, 165], Confidence: 0.91
Frame: 35, ID: 4, BBox: [107, 288, 194, 95], Confidence: 0.60
Frame: 35, ID: 8, BBox: [104, 286, 133, 97], Confidence: 0.41
Frame: 35, ID: 10, BBox: [163, 250, 40, 47], Confidence: 0.36
Frame: 36, ID: 1, BBox: [317, 51, 181, 332], Confidence: 0.92
Frame: 36, ID: 2, BBox: [198, 213, 204, 170], Confidence: 0.91
Frame: 36, ID: 3, BBox: [554, 217, 85, 166], Confidence: 0.91
Frame: 36, ID: 4, BBox: [105, 286, 196, 97], Confidence: 0.62
Frame: 36, ID: 8, BBox: [162, 249, 41, 47], Confidence: 0.30
Frame: 36, ID: 10, BBox: [102, 284, 135, 99], Confidence: 0.29
Frame: 37, ID: 1, BBox: [317, 51, 181, 332], Confidence: 0.92
Frame: 37, ID: 2, BBox: [198, 212, 204, 171], Confidence: 0.91
Frame: 37, ID: 3, BBox: [554, 217, 85, 166], Confidence: 0.90
Frame: 37, ID: 4, BBox: [108, 285, 192, 98], Confidence: 0.68
Frame: 37, ID: 8, BBox: [160, 248, 42, 46], Confidence: 0.26
Frame: 38, ID: 1, BBox: [317, 51, 180, 332], Confidence: 0.92
Frame: 38, ID: 2, BBox: [198, 212, 204, 171], Confidence: 0.91
Frame: 38, ID: 3, BBox: [554, 217, 85, 166], Confidence: 0.90
Frame: 38, ID: 4, BBox: [105, 284, 196, 99], Confidence: 0.71
Frame: 39, ID: 1, BBox: [317, 52, 180, 331], Confidence: 0.92
Frame: 39, ID: 2, BBox: [197, 212, 205, 171], Confidence: 0.91
